source,target
SkeinPress,_Abdul_Abdullah
stingingfly,_AislingF
OverTheEdgeOpen,_anthonyegeorge
poetryireland,_Assimilation
poetryireland,_bebeashley_
dedaluspress,_bebeashley_
bansheelit,_bebeashley_
OBheal,_bebeashley_
CuirtFestival,_berecca
dalkeybookfest,_ButterflyBox
NewIslandBooks,_CarolMorley
bansheelit,_cathythomas
Wordfoolery,_Channillo
TrampPress,_cheafey
DublinBookFest,_cheafey
MuinteoirGaeNYC,_cheafey
GIHNYU,_cheafey
stingingfly,_ChrisWrites
NewIslandBooks,_ChrisWrites
LilliputPress,_ChrisWrites
LouiseSCurran,_cingraham
ILFDublin,_d_olavario
OverTheEdgeOpen,_duggan_
WritersWeek,_elainekinsella
dedaluspress,_erivil
WritersWeek,_FionaTobin
ILFDublin,_flightoffancy_
Fallow__Media,_franceswilde
stingingfly,_freewriters
TrampPress,_Gate_13
DublinBookFest,_GStan
PublishingIRL,_GStan
LilliputPress,_harukimurakami
dedaluspress,_HousingCrisis
WritersWeek,_IanMacpherson
SkeinPress,_IHREC
ContinuityPlay,_InnisfreeHA
AoifeBBurke,_IrishBlogs_
OBrienPress,_jamesdawson
ILFDublin,_JimField
dubreviewbooks,_JoyCastro
TrampPress,_KnightsOf
ILFDublin,_KnightsOf
SkeinPress,_KnightsOf
bansheelit,_LouiseEssex
MoLI_Museum,_mariaob_
MoLI_Museum,_MarkMcKenna_
dedaluspress,_MartinaDalton
Fallow__Media,_mbuckley
poetryireland,_MCAC
IrishWritersCtr,_melaniemay
OBrienPress,_melaniemay
IrishWritersCtr,_miagallagher
poetryireland,_northwestwords
NewIslandBooks,_northwestwords
Doirepress,_northwestwords
OverTheEdgeOpen,_northwestwords
WritersWeek,_omaonaigh
Doirepress,_omaonaigh
PoolbegBooks,_PatriciaMurphy
OverTheEdgeOpen,_PoetsCorner
dedaluspress,_RachelHandley
stingingfly,_RachelHandley
MoLI_Museum,_RachelHandley
NewIslandBooks,_RachelHandley
ILFDublin,_RachelHandley
DublinBookFest,_RyanTubridy
WritersWeek,_shanefinn
ILFDublin,_Space_between_
CuirtFestival,_spell
stingingfly,_SpikeIsland
OverTheEdgeOpen,_streetlawyer
NewIslandBooks,_stunned
Fallow__Media,_susiesnaps
dalkeybookfest,_tcj
OverTheEdgeOpen,_TechTalk_
ArtistPartners,_TomDuxbury
WritersWeek,_TomMcLaughlin
OBheal,_Tongogara_
poetryireland,_TonyLawlor
dedaluspress,_yourshelf_
DanMulhall,00gobrien
ILFDublin,09Babs
LilliputPress,0FrankWasser0
stingingfly,0nurkorkmaz
OverTheEdgeOpen,1_liamgallagher
ILFDublin,100archive
NewIslandBooks,1068fm
OBrienPress,1068fm
PublishingIRL,10AM
stingingfly,10DaysinDublin
ILFDublin,10DaysinDublin
stingingfly,10mhardbacks
NewIslandBooks,10ThousandAYear
Doirepress,1111Press
OverTheEdgeOpen,111publishing
OBrienPress,11am
CuirtFestival,11am
CuirtFestival,126Gallery
CIAC_LA,12bowstreet
CuirtFestival,12noon
poetryireland,12pm
poetryireland,1418NOW
IrishWritersCtr,147Deli
poetryireland,14HenriettaSt
MoLI_Museum,14HenriettaSt
OBrienPress,14HenriettaSt
MoLI_Museum,1843mag
dalkeybookfest,18Carty
MoLI_Museum,18collectors
